AGE,FG3M,FTM,FTA,OREB,TOV,STL,BLK,BLKA,PFD,DD2_RANK,TD3_RANK,All_Star_Selection
0.458333,0.169811,0.039216,0.04878,0.090909,0.105263,0.1,0.081081,0.095238,0.071429,0.674157,0.666667,0
0.583333,0,0,0,0.018182,0.052632,0.066667,0.054054,0.047619,0.010204,0.835206,0.666667,0
0.666667,0,0,0,0,0,0,0,0,0,0.835206,0.666667,0
0.166667,0,0.460784,0.487805,0.436364,0.368421,0.2,0.405405,0.47619,0.459184,0.247191,0.666667,0
0.125,0,0.04902,0.089431,0.090909,0.105263,0.066667,0.054054,0.095238,0.081633,0.835206,0.666667,0
0.333333,0.09434,0.078431,0.089431,0.036364,0.157895,0.233333,0.027027,0.142857,0.122449,0.835206,0.666667,0
0.208333,0.264151,0.196078,0.203252,0.127273,0.210526,0.3,0.135135,0.285714,0.214286,0.835206,0.666667,0
0.333333,0,0.27451,0.308943,0.4,0.245614,0.166667,0.108108,0.333333,0.326531,0.269663,0.666667,0
0.5,0.09434,0.058824,0.056911,0.054545,0.157895,0.1,0,0,0.081633,0.835206,0.666667,0
0.416667,0,0.284314,0.333333,0.4,0.438596,0.266667,0.081081,0.714286,0.316327,0.059925,0.666667,0
0.375,0.396226,0.117647,0.121951,0.090909,0.210526,0.533333,0.054054,0.285714,0.132653,0.573034,0.666667,1
0.333333,0.226415,0.647059,0.642276,0.272727,0.473684,0.3,0.162162,0.666667,0.561224,0.142322,0.666667,0
0.5,0.188679,0.22549,0.243902,0.145455,0.298246,0.333333,0.081081,0.333333,0.234694,0.674157,0.666667,0
0.291667,0.150943,0.04902,0.065041,0.072727,0.052632,0.1,0.027027,0.095238,0.071429,0.835206,0.666667,0
0.375,0.415094,0.117647,0.113821,0.145455,0.157895,0.2,0.27027,0.095238,0.163265,0.269663,0.666667,0
0.541667,0.056604,0.009804,0.01626,0.054545,0.052632,0.1,0.027027,0.095238,0.040816,0.835206,0.666667,0
0.291667,0.301887,0.117647,0.121951,0.127273,0.157895,0.2,0.162162,0.047619,0.132653,0.411985,0.666667,0
0.166667,0.207547,0.147059,0.146341,0.127273,0.157895,0.166667,0.054054,0.285714,0.132653,0.835206,0.666667,0
0.625,0.377358,0.519608,0.471545,0.054545,0.438596,0.333333,0.054054,0.285714,0.367347,0.573034,0.666667,0
0.541667,0,0.186275,0.243902,0.309091,0.105263,0.166667,0.351351,0.190476,0.255102,0.573034,0.666667,0
0.333333,0.018868,0.490196,0.495935,0.327273,0.315789,0.266667,0.162162,0.333333,0.469388,0.067416,0.666667,0
0.208333,0.056604,0.166667,0.162602,0.036364,0.140351,0.233333,0.081081,0.333333,0.163265,0.835206,0.666667,0
0.375,0.056604,0.029412,0.04065,0.036364,0.210526,0.1,0,0.142857,0.071429,0.835206,0.666667,0
0.25,0,0.107843,0.113821,0.163636,0.122807,0.066667,0.162162,0.047619,0.102041,0.835206,0.666667,0
0.416667,0,0.127451,0.146341,0.290909,0.315789,0.166667,0.405405,0.333333,0.132653,0.344569,0.666667,0
