AGE,W,L,FG3A,OREB,DREB,TOV,PF,PFD,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.125,0.109589,0.070423,0,0.090909,0.122807,0.105263,0.133333,0.081633,0.499148,0.666667,0
0.333333,0.849315,0.28169,0.106061,0.036364,0.087719,0.157895,0.166667,0.122449,0.551959,0.666667,0
0.208333,0.493151,0.591549,0.325758,0.127273,0.22807,0.210526,0.466667,0.214286,0.534923,0.666667,0
0.333333,0.342466,0.71831,0.007576,0.4,0.210526,0.245614,0.433333,0.326531,0.48552,0.666667,0
0.5,0.589041,0.295775,0.083333,0.054545,0.114035,0.157895,0.183333,0.081633,0.550256,0.666667,0
0.416667,0.643836,0.169014,0,0.4,0.649123,0.438596,0.533333,0.316327,0.603066,0.666667,0
0.375,0.287671,0.394366,0.439394,0.090909,0.315789,0.210526,0.25,0.132653,0.494037,0.666667,1
0.333333,0.589041,0.478873,0.25,0.272727,0.508772,0.473684,0.483333,0.561224,0.563884,0.666667,0
0.5,0.287671,0.112676,0.166667,0.145455,0.289474,0.298246,0.333333,0.234694,0.609881,0.666667,0
0.291667,0.260274,0.464789,0.143939,0.072727,0.087719,0.052632,0.166667,0.071429,0.529813,0.666667,0
0.375,0.534247,0.535211,0.431818,0.145455,0.508772,0.157895,0.583333,0.163265,0.545145,0.666667,0
0.541667,0.09589,0.169014,0.083333,0.054545,0.052632,0.052632,0.116667,0.040816,0.522998,0.666667,0
0.291667,0.369863,0.690141,0.325758,0.127273,0.280702,0.157895,0.383333,0.132653,0.492334,0.666667,0
0.166667,0.561644,0.521127,0.265152,0.127273,0.254386,0.157895,0.25,0.132653,0.553663,0.666667,0
0.625,0.520548,0.478873,0.378788,0.054545,0.201754,0.438596,0.333333,0.367347,0.551959,0.666667,0
0.541667,0.39726,0.225352,0,0.309091,0.280702,0.105263,0.3,0.255102,0.55707,0.666667,0
0.333333,0.753425,0.309859,0.022727,0.327273,0.570175,0.315789,0.366667,0.469388,0.657581,0.666667,0
0.208333,0.260274,0.352113,0.075758,0.036364,0.157895,0.140351,0.283333,0.163265,0.51448,0.666667,0
