AGE,W,PLUS_MINUS,W_RANK,W_PCT_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,STL_RANK,BLK_RANK,PLUS_MINUS_RANK,All_Star_Selection
0.25,0.369863,0.470187,0.378238,0.52677,0.397436,0.387454,0.523381,0.286942,0.352622,0.242775,0.645695,0
0.5,0.684932,0.519591,0.079447,0.129534,0.236264,0.791513,0.115108,0.185567,0.687161,0.082852,0.334437,0
0.625,0.506849,0.51448,0.233161,0.169257,0.767399,0.01845,0.723022,0.675258,0.493671,0.635838,0.359272,0
0.458333,0.109589,0.511073,0.673575,0.740933,0.695971,0.636531,0.532374,0.446735,0.640145,0.452794,0.385762,0
0.583333,0.164384,0.516184,0.623489,0.162349,0.800366,0.800738,0.778777,0.747423,0.719711,0.510597,0.354305,0
0.666667,0.027397,0.429302,0.744387,0,0.800366,0.800738,0.785971,0.766323,0.78481,0.818882,0.733444,0
0.166667,0.328767,0.458262,0.417962,0.656304,0.031136,0.278598,0.059353,0.17354,0.381555,0.040462,0.695364,0
0.125,0.109589,0.499148,0.673575,0.198618,0.529304,0.732472,0.541367,0.579038,0.725136,0.493256,0.466887,0
0.333333,0.849315,0.551959,0,0.036269,0.512821,0.437269,0.714029,0.670103,0.309222,0.630058,0.163907,0
0.208333,0.493151,0.534923,0.248705,0.438687,0.232601,0.214022,0.404676,0.314433,0.166365,0.260116,0.246689,0
0.333333,0.342466,0.48552,0.397237,0.618307,0.10989,0.442804,0.077338,0.345361,0.406872,0.306358,0.569536,0
0.5,0.589041,0.550256,0.138169,0.150259,0.648352,0.166052,0.633094,0.597938,0.600362,0.813102,0.182119,0
0.416667,0.643836,0.603066,0.1019,0.020725,0.089744,0.523985,0.073741,0.013746,0.253165,0.414258,0.031457,0
0.375,0.287671,0.494037,0.466321,0.493955,0.412088,0.243542,0.52518,0.166667,0.0217,0.593449,0.504967,1
0.333333,0.589041,0.563884,0.138169,0.267703,0.010989,0.151292,0.154676,0.058419,0.191682,0.192678,0.114238,0
0.5,0.287671,0.609881,0.466321,0.081174,0.172161,0.321033,0.379496,0.194158,0.159132,0.450867,0.029801,0
0.291667,0.260274,0.529813,0.499136,0.585492,0.628205,0.527675,0.593525,0.646048,0.573237,0.647399,0.281457,0
0.375,0.534247,0.545145,0.198618,0.362694,0.454212,0.162362,0.329137,0.056701,0.36528,0.084778,0.19702,0
0.541667,0.09589,0.522998,0.687392,0.578584,0.78022,0.732472,0.627698,0.718213,0.61302,0.749518,0.321192,0
0.291667,0.369863,0.492334,0.378238,0.592401,0.413919,0.346863,0.433453,0.206186,0.392405,0.223507,0.518212,0
0.166667,0.561644,0.553663,0.164076,0.324698,0.346154,0.103321,0.417266,0.257732,0.40868,0.493256,0.149007,0
0.625,0.520548,0.551959,0.222798,0.316062,0.034799,0.027675,0.615108,0.367698,0.151899,0.543353,0.178808,0
0.541667,0.39726,0.55707,0.34715,0.183074,0.173993,0.627306,0.133094,0.213058,0.423146,0.050096,0.135762,0
0.333333,0.753425,0.657581,0.046632,0.08981,0.027473,0.202952,0.113309,0.034364,0.249548,0.17341,0,0
0.208333,0.260274,0.51448,0.499136,0.488774,0.296703,0.164207,0.739209,0.465636,0.316456,0.423892,0.364238,0
0.375,0.493151,0.522998,0.248705,0.100173,0.723443,0.693727,0.72482,0.680412,0.622061,0.786127,0.319536,0
0.25,0.136986,0.454855,0.644214,0.08981,0.448718,0.402214,0.32554,0.561856,0.692586,0.169557,0.698675,0
0.416667,0.150685,0.499148,0.630397,0.604491,0.344322,0.389299,0.142086,0.06701,0.43038,0.034682,0.471854,0
0.291667,0.616438,0.577513,0.117444,0.264249,0.065934,0.066421,0.532374,0.164948,0,0.736031,0.082781,1
0.333333,0.452055,0.507666,0.298791,0.013817,0.783883,0.732472,0.776978,0.737113,0.75226,0.805395,0.410596,0
0.375,0.30137,0.521295,0.450777,0.549223,0.40293,0.691882,0.133094,0.233677,0.424955,0.420039,0.332781,0
0.125,0.136986,0.444634,0.644214,0.727116,0.684982,0.621771,0.456835,0.395189,0.245931,0.17341,0.715232,0
